calc_time,funding_interval_hours,last_funding_rate
1761955200002,8,0.00006610
1761984000000,8,0.00010000
1762012800006,8,0.00002821
1762041600006,8,0.00010000
1762070400004,8,0.00006715
1762099200000,8,0.00003031
1762128000000,8,-0.00000191
1762156800007,8,0.00010000
1762185600000,8,0.00010000
1762214400012,8,0.00010000
1762243200004,8,0.00010000
1762272000005,8,0.00010000
1762300800000,8,0.00010000
1762329600001,8,0.00002332
1762358400004,8,0.00003042
1762387200002,8,-0.00002646
1762416000001,8,0.00001341
1762444800000,8,0.00010000
1762473600008,8,0.00010000
1762502400004,8,0.00010000
1762531200005,8,0.00010000
1762560000000,8,0.00002599
1762588800000,8,0.00010000
1762617600001,8,0.00010000
1762646400002,8,0.00003532
1762675200004,8,0.00003579
1762704000008,8,0.00000583
1762732800000,8,-0.00005951
1762761600005,8,0.00003008
1762790400001,8,0.00000222
1762819200006,8,0.00005907
1762848000011,8,0.00002939
1762876800007,8,0.00007782
1762905600004,8,0.00010000
1762934400001,8,0.00008057
1762963200007,8,0.00006114
1762992000000,8,0.00010000
1763020800001,8,0.00005910
1763049600008,8,0.00001784
1763078400000,8,0.00010000
1763107200000,8,0.00006607
1763136000011,8,0.00007166
1763164800002,8,0.00009915
1763193600006,8,0.00000871
1763222400000,8,-0.00001763
1763251200001,8,0.00002135
1763280000001,8,0.00007709
1763308800004,8,0.00001723
1763337600001,8,0.00009692
1763366400003,8,0.00010000
1763395200000,8,0.00010000
1763424000001,8,0.00010000
1763452800002,8,0.00010000
1763481600002,8,0.00010000
1763510400000,8,-0.00000163
1763539200009,8,0.00010000
1763568000000,8,-0.00001835
1763596800002,8,0.00010000
1763625600005,8,0.00007303
1763654400001,8,0.00010000
1763683200000,8,0.00010000
1763712000000,8,0.00010000
1763740800000,8,0.00000740
1763769600003,8,-0.00005171
1763798400010,8,0.00002332
1763827200005,8,0.00004413
1763856000000,8,-0.00002222
1763884800007,8,-0.00002331
1763913600007,8,-0.00003819
1763942400006,8,-0.00004806
1763971200004,8,-0.00004868
1764000000000,8,0.00001968
1764028800000,8,-0.00007101
1764057600009,8,-0.00004734
1764086400000,8,0.00010000
1764115200007,8,0.00001247
1764144000000,8,0.00001015
1764172800001,8,0.00002064
1764201600006,8,-0.00002895
1764230400000,8,-0.00001757
1764259200009,8,-0.00002584
1764288000005,8,0.00003025
1764316800000,8,0.00002627
1764345600002,8,-0.00005101
1764374400007,8,-0.00000340
1764403200001,8,-0.00005544
1764432000010,8,0.00000436
1764460800000,8,0.00009403
