calc_time,funding_interval_hours,last_funding_rate
1764547200000,8,0.00007365
1764576000001,8,0.00004276
1764604800001,8,0.00005810
1764633600000,8,-0.00003417
1764662400004,8,0.00002311
1764691200005,8,-0.00000275
1764720000000,8,0.00003549
1764748800001,8,0.00005032
1764777600001,8,0.00001423
1764806400001,8,0.00002765
1764835200007,8,0.00002131
1764864000012,8,0.00007153
1764892800001,8,-0.00004094
1764921600000,8,0.00002051
1764950400000,8,0.00009243
1764979200001,8,-0.00001793
1765008000000,8,-0.00003644
1765036800008,8,0.00000981
1765065600000,8,0.00006466
1765094400000,8,0.00002234
1765123200000,8,0.00002301
1765152000000,8,0.00009525
1765180800008,8,0.00004842
1765209600002,8,0.00008960
1765238400000,8,0.00002593
1765267200001,8,0.00001945
1765296000001,8,0.00005398
1765324800000,8,-0.00002613
1765353600000,8,0.00002508
1765382400009,8,0.00003338
1765411200001,8,-0.00003534
1765440000004,8,-0.00007168
1765468800000,8,0.00007439
1765497600003,8,-0.00004570
1765526400000,8,0.00010000
1765555200005,8,-0.00004477
1765584000000,8,-0.00001040
1765612800005,8,-0.00007279
1765641600004,8,0.00003891
1765670400004,8,0.00010000
1765699200000,8,0.00005616
1765728000000,8,0.00010000
1765756800000,8,0.00010000
1765785600000,8,0.00010000
1765814400001,8,0.00004635
1765843200001,8,0.00001728
1765872000000,8,0.00000667
1765900800003,8,0.00007840
1765929600013,8,0.00004022
1765958400000,8,0.00004370
1765987200002,8,0.00001058
1766016000003,8,0.00002059
1766044800000,8,-0.00008602
1766073600005,8,0.00010000
1766102400013,8,0.00010000
1766131200000,8,0.00010000
1766160000001,8,0.00010000
1766188800004,8,0.00009289
1766217600003,8,-0.00004483
1766246400000,8,0.00000422
1766275200000,8,-0.00006505
1766304000002,8,0.00000464
1766332800000,8,0.00003991
1766361600001,8,0.00000953
1766390400006,8,0.00010000
1766419200010,8,0.00010000
1766448000000,8,0.00010000
1766476800002,8,0.00009054
1766505600001,8,0.00001820
1766534400002,8,0.00003529
1766563200006,8,0.00010000
1766592000000,8,0.00010000
1766620800000,8,0.00010000
1766649600000,8,0.00003692
1766678400000,8,0.00005839
1766707200007,8,0.00007140
1766736000002,8,0.00010000
1766764800005,8,0.00010000
1766793600001,8,0.00000438
1766822400000,8,0.00003437
1766851200007,8,0.00007520
1766880000007,8,0.00006681
1766908800001,8,0.00010000
1766937600000,8,0.00005787
1766966400002,8,0.00006160
1766995200001,8,0.00010000
1767024000001,8,0.00010000
1767052800000,8,0.00010000
1767081600002,8,0.00010000
1767110400003,8,0.00010000
1767139200005,8,0.00010000
