calc_time,funding_interval_hours,last_funding_rate
1764547200000,8,-0.00001084
1764576000001,8,0.00000155
1764604800001,8,0.00001915
1764633600000,8,0.00001022
1764662400004,8,0.00002639
1764691200005,8,-0.00004785
1764720000000,8,-0.00000241
1764748800001,8,-0.00002083
1764777600001,8,-0.00000575
1764806400001,8,0.00000668
1764835200007,8,0.00002524
1764864000012,8,0.00002142
1764892800001,8,-0.00002757
1764921600000,8,-0.00004691
1764950400000,8,0.00003632
1764979200001,8,-0.00005091
1765008000000,8,-0.00000684
1765036800008,8,0.00001603
1765065600000,8,-0.00006906
1765094400000,8,0.00001051
1765123200000,8,-0.00003456
1765152000000,8,-0.00002058
1765180800008,8,0.00004637
1765209600002,8,0.00005113
1765238400000,8,0.00001201
1765267200001,8,-2.2E-7
1765296000001,8,0.00003849
1765324800000,8,-0.00002941
1765353600000,8,0.00002862
1765382400009,8,-0.00003040
1765411200001,8,-0.00004101
1765440000004,8,-0.00003244
1765468800000,8,0.00000203
1765497600003,8,-0.00001183
1765526400000,8,0.00010000
1765555200005,8,0.00000992
1765584000000,8,-0.00001188
1765612800005,8,-0.00000748
1765641600004,8,0.00005663
1765670400004,8,0.00004420
1765699200000,8,0.00004850
1765728000000,8,0.00006474
1765756800000,8,0.00003570
1765785600000,8,0.00001112
1765814400001,8,-0.00004871
1765843200001,8,-0.00007129
1765872000000,8,-0.00003811
1765900800003,8,0.00001144
1765929600013,8,0.00002921
1765958400000,8,0.00010000
1765987200002,8,0.00003132
1766016000003,8,-0.00002624
1766044800000,8,-0.00002594
1766073600005,8,0.00006515
1766102400013,8,0.00001412
1766131200000,8,0.00006695
1766160000001,8,0.00007059
1766188800004,8,0.00003871
1766217600003,8,0.00006285
1766246400000,8,0.00009176
1766275200000,8,0.00002958
1766304000002,8,0.00004461
1766332800000,8,0.00001157
1766361600001,8,0.00005234
1766390400006,8,0.00007456
1766419200010,8,0.00003022
1766448000000,8,0.00001705
1766476800002,8,0.00005238
1766505600001,8,0.00005981
1766534400002,8,0.00007525
1766563200006,8,0.00008219
1766592000000,8,0.00005566
1766620800000,8,0.00010000
1766649600000,8,0.00010000
1766678400000,8,0.00005680
1766707200007,8,0.00006746
1766736000002,8,0.00007248
1766764800005,8,0.00010000
1766793600001,8,0.00003107
1766822400000,8,0.00008040
1766851200007,8,0.00004513
1766880000007,8,0.00010000
1766908800001,8,0.00010000
1766937600000,8,0.00010000
1766966400002,8,0.00010000
1766995200001,8,0.00010000
1767024000001,8,0.00010000
1767052800000,8,0.00007682
1767081600002,8,0.00006595
1767110400003,8,0.00005809
1767139200005,8,0.00008444
