calc_time,funding_interval_hours,last_funding_rate
1767225600003,8,0.00010000
1767254400000,8,0.00010000
1767283200000,8,0.00010000
1767312000002,8,0.00010000
1767340800012,8,0.00010000
1767369600000,8,0.00006065
1767398400000,8,-0.00005688
1767427200000,8,-0.00004849
1767456000000,8,0.00008120
1767484800000,8,0.00009045
1767513600000,8,0.00009159
1767542400000,8,-0.00000491
1767571200001,8,0.00003293
1767600000000,8,0.00010000
1767628800010,8,0.00000167
1767657600000,8,-0.00011203
1767686400007,8,-7.3E-7
1767715200000,8,0.00002930
1767744000006,8,0.00010000
1767772800003,8,0.00010000
1767801600000,8,0.00010000
1767830400001,8,0.00010000
1767859200000,8,0.00010000
1767888000002,8,0.00008701
1767916800002,8,-0.00009917
1767945600000,8,0.00006884
1767974400000,8,0.00009548
1768003200000,8,0.00004518
1768032000003,8,0.00008626
1768060800001,8,0.00010000
1768089600002,8,0.00010000
1768118400007,8,0.00010000
1768147200000,8,0.00010000
1768176000006,8,0.00009393
1768204800000,8,0.00010000
1768233600007,8,0.00010000
1768262400005,8,-0.00001126
1768291200000,8,0.00010000
1768320000000,8,0.00010000
1768348800000,8,-0.00014146
1768377600000,8,0.00001196
1768406400005,8,0.00005499
1768435200009,8,-0.00016529
1768464000004,8,0.00000610
1768492800001,8,-0.00001290
1768521600000,8,-0.00002749
1768550400006,8,-0.00003099
1768579200006,8,0.00002605
1768608000002,8,3.6E-7
1768636800000,8,0.00000694
1768665600000,8,0.00002078
1768694400000,8,-0.00005883
1768723200004,8,-0.00001639
1768752000001,8,0.00003261
1768780800000,8,0.00008248
1768809600000,8,0.00005009
1768838400009,8,0.00010000
1768867200004,8,0.00010000
1768896000000,8,0.00010000
1768924800000,8,0.00010000
1768953600007,8,0.00010000
1768982400000,8,0.00005607
1769011200000,8,0.00008344
1769040000008,8,0.00010000
1769068800000,8,0.00010000
1769097600000,8,0.00010000
1769126400001,8,0.00010000
1769155200007,8,0.00010000
1769184000000,8,0.00010000
1769212800001,8,0.00007189
1769241600005,8,0.00010000
1769270400000,8,0.00010000
1769299200001,8,0.00010000
1769328000012,8,0.00010000
1769356800001,8,0.00010000
1769385600000,8,0.00010000
1769414400005,8,0.00010000
1769443200003,8,0.00001812
1769472000000,8,0.00008560
1769500800000,8,0.00010000
1769529600000,8,0.00010000
1769558400005,8,0.00003387
1769587200010,8,0.00003152
1769616000011,8,0.00006476
1769644800002,8,0.00002335
1769673600011,8,0.00001262
1769702400001,8,0.00007962
1769731200009,8,-0.00004993
1769760000000,8,-0.00007256
1769788800001,8,-0.00003173
1769817600000,8,0.00010000
