calc_time,funding_interval_hours,last_funding_rate
1764547200000,8,0.00000548
1764576000001,8,-0.00005221
1764604800001,8,-0.00004541
1764633600000,8,-0.00012639
1764662400004,8,0.00000513
1764691200005,8,0.00004306
1764720000000,8,-0.00007292
1764748800001,8,-0.00003366
1764777600001,8,-0.00001192
1764806400001,8,-0.00006376
1764835200007,8,0.00010000
1764864000012,8,0.00010000
1764892800001,8,0.00003932
1764921600000,8,0.00007324
1764950400000,8,-0.00005822
1764979200001,8,-0.00004381
1765008000000,8,0.00003608
1765036800008,8,0.00005877
1765065600000,8,0.00009299
1765094400000,8,0.00003723
1765123200000,8,0.00001460
1765152000000,8,0.00000192
1765180800008,8,0.00008656
1765209600002,8,0.00007336
1765238400000,8,7.1E-7
1765267200001,8,0.00006791
1765296000001,8,0.00004670
1765324800000,8,-0.00000451
1765353600000,8,0.00010000
1765382400009,8,0.00007868
1765411200001,8,0.00000967
1765440000004,8,-0.00004478
1765468800000,8,0.00001643
1765497600003,8,0.00008313
1765526400000,8,-0.00001715
1765555200005,8,-0.00001149
1765584000000,8,0.00003754
1765612800005,8,0.00000539
1765641600004,8,-0.00005459
1765670400004,8,-0.00000884
1765699200000,8,0.00000382
1765728000000,8,0.00004471
1765756800000,8,0.00001728
1765785600000,8,0.00003727
1765814400001,8,-0.00005117
1765843200001,8,-0.00009820
1765872000000,8,0.00001703
1765900800003,8,-0.00000495
1765929600013,8,4.3E-7
1765958400000,8,0.00007856
1765987200002,8,0.00005170
1766016000003,8,0.00002028
1766044800000,8,0.00003533
1766073600005,8,0.00005513
1766102400013,8,0.00000162
1766131200000,8,0.00010000
1766160000001,8,0.00004296
1766188800004,8,0.00010000
1766217600003,8,-0.00003865
1766246400000,8,0.00000181
1766275200000,8,-0.00004696
1766304000002,8,-0.00000689
1766332800000,8,-0.00001944
1766361600001,8,-0.00002974
1766390400006,8,0.00002722
1766419200010,8,0.00009229
1766448000000,8,0.00010000
1766476800002,8,0.00007101
1766505600001,8,0.00001858
1766534400002,8,0.00010000
1766563200006,8,0.00010000
1766592000000,8,0.00008675
1766620800000,8,0.00007564
1766649600000,8,0.00009264
1766678400000,8,0.00006920
1766707200007,8,0.00009838
1766736000002,8,0.00009402
1766764800005,8,0.00001184
1766793600001,8,0.00010000
1766822400000,8,0.00002324
1766851200007,8,0.00000888
1766880000007,8,0.00010000
1766908800001,8,0.00008430
1766937600000,8,0.00010000
1766966400002,8,0.00007450
1766995200001,8,0.00006834
1767024000001,8,0.00010000
1767052800000,8,0.00010000
1767081600002,8,0.00010000
1767110400003,8,0.00010000
1767139200005,8,0.00010000
