calc_time,funding_interval_hours,last_funding_rate
1761955200002,8,0.00010000
1761984000000,8,0.00010000
1762012800006,8,0.00010000
1762041600006,8,0.00010000
1762070400004,8,0.00010000
1762099200000,8,0.00010000
1762128000000,8,0.00009479
1762156800007,8,0.00006023
1762185600000,8,0.00005159
1762214400012,8,0.00002625
1762243200004,8,0.00008128
1762272000005,8,0.00001805
1762300800000,8,0.00001845
1762329600001,8,-0.00000887
1762358400004,8,0.00003444
1762387200002,8,-0.00005449
1762416000001,8,0.00008901
1762444800000,8,0.00005879
1762473600008,8,0.00010000
1762502400004,8,0.00010000
1762531200005,8,0.00007345
1762560000000,8,-0.00002355
1762588800000,8,0.00010000
1762617600001,8,0.00004844
1762646400002,8,0.00002514
1762675200004,8,0.00003652
1762704000008,8,0.00005815
1762732800000,8,-0.00005151
1762761600005,8,-0.00002913
1762790400001,8,0.00010000
1762819200006,8,0.00007905
1762848000011,8,0.00001796
1762876800007,8,0.00010000
1762905600004,8,0.00004310
1762934400001,8,0.00004057
1762963200007,8,0.00005939
1762992000000,8,0.00005992
1763020800001,8,0.00006033
1763049600008,8,0.00000882
1763078400000,8,0.00003621
1763107200000,8,0.00009228
1763136000011,8,0.00010000
1763164800002,8,0.00010000
1763193600006,8,0.00004815
1763222400000,8,0.00004987
1763251200001,8,0.00009895
1763280000001,8,0.00010000
1763308800004,8,0.00010000
1763337600001,8,0.00010000
1763366400003,8,0.00010000
1763395200000,8,0.00010000
1763424000001,8,0.00010000
1763452800002,8,0.00010000
1763481600002,8,0.00010000
1763510400000,8,0.00005203
1763539200009,8,0.00010000
1763568000000,8,0.00006336
1763596800002,8,0.00010000
1763625600005,8,0.00010000
1763654400001,8,0.00010000
1763683200000,8,0.00010000
1763712000000,8,0.00010000
1763740800000,8,0.00010000
1763769600003,8,0.00010000
1763798400010,8,0.00010000
1763827200005,8,0.00010000
1763856000000,8,0.00010000
1763884800007,8,0.00010000
1763913600007,8,-0.00003963
1763942400006,8,0.00004745
1763971200004,8,0.00006362
1764000000000,8,0.00005767
1764028800000,8,-0.00001645
1764057600009,8,0.00003274
1764086400000,8,0.00007999
1764115200007,8,0.00008947
1764144000000,8,3.8E-7
1764172800001,8,0.00002968
1764201600006,8,-0.00004086
1764230400000,8,-0.00003140
1764259200009,8,-0.00006449
1764288000005,8,-0.00005802
1764316800000,8,0.00003633
1764345600002,8,-0.00001499
1764374400007,8,-0.00008524
1764403200001,8,-0.00015872
1764432000010,8,-0.00006942
1764460800000,8,0.00002783
