calc_time,funding_interval_hours,last_funding_rate
1767225600003,8,0.00010000
1767254400000,8,0.00010000
1767283200000,8,0.00002538
1767312000002,8,0.00010000
1767340800012,8,0.00010000
1767369600000,8,0.00007769
1767398400000,8,0.00010000
1767427200000,8,-0.00007631
1767456000000,8,0.00001255
1767484800000,8,-0.00005420
1767513600000,8,0.00001132
1767542400000,8,0.00010000
1767571200001,8,0.00010000
1767600000000,8,0.00006753
1767628800010,8,0.00008998
1767657600000,8,0.00010000
1767686400007,8,0.00010000
1767715200000,8,0.00010000
1767744000006,8,0.00010000
1767772800003,8,0.00010000
1767801600000,8,0.00010000
1767830400001,8,0.00010000
1767859200000,8,0.00010000
1767888000002,8,-0.00004652
1767916800002,8,-0.00014238
1767945600000,8,0.00009335
1767974400000,8,0.00007323
1768003200000,8,0.00005936
1768032000003,8,0.00010000
1768060800001,8,0.00007668
1768089600002,8,0.00010000
1768118400007,8,0.00010000
1768147200000,8,0.00010000
1768176000006,8,0.00010000
1768204800000,8,0.00010000
1768233600007,8,0.00003164
1768262400005,8,0.00007833
1768291200000,8,0.00010000
1768320000000,8,0.00010000
1768348800000,8,-0.00008311
1768377600000,8,0.00010000
1768406400005,8,0.00010000
1768435200009,8,0.00010000
1768464000004,8,0.00010000
1768492800001,8,0.00010000
1768521600000,8,0.00010000
1768550400006,8,0.00010000
1768579200006,8,0.00008101
1768608000002,8,0.00004048
1768636800000,8,0.00002932
1768665600000,8,-0.00001449
1768694400000,8,0.00010000
1768723200004,8,0.00008759
1768752000001,8,0.00006600
1768780800000,8,0.00007031
1768809600000,8,-0.00000307
1768838400009,8,0.00005576
1768867200004,8,0.00006076
1768896000000,8,0.00010000
1768924800000,8,-0.00003748
1768953600007,8,-0.00005740
1768982400000,8,-0.00002646
1769011200000,8,0.00006827
1769040000008,8,0.00005148
1769068800000,8,0.00010000
1769097600000,8,0.00008493
1769126400001,8,4.3E-7
1769155200007,8,0.00010000
1769184000000,8,0.00010000
1769212800001,8,0.00010000
1769241600005,8,0.00010000
1769270400000,8,0.00010000
1769299200001,8,0.00010000
1769328000012,8,0.00010000
1769356800001,8,0.00010000
1769385600000,8,0.00000721
1769414400005,8,0.00010000
1769443200003,8,0.00007644
1769472000000,8,-0.00004859
1769500800000,8,0.00008098
1769529600000,8,0.00010000
1769558400005,8,0.00000813
1769587200010,8,0.00002558
1769616000011,8,0.00002684
1769644800002,8,0.00007844
1769673600011,8,0.00002127
1769702400001,8,0.00003880
1769731200009,8,-0.00001210
1769760000000,8,-0.00008112
1769788800001,8,-0.00009068
1769817600000,8,-0.00003783
